Artist,Track,URL,MP3_Path,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
UVERworld,AS ONE,https://open.spotify.com/track/0q1Xj3a43blPQLqoYDYujx,./downloaded_mp3/UVERworld_AS ONE.mp3,93,93,54.25,32.02,4,217,0.12,-2.12
JO1,YOUNG (JO1 ver.),https://open.spotify.com/track/4sCHBaEC8Zzx1apvH9LMN9,./downloaded_mp3/JO1_YOUNG (JO1 ver.).mp3,52,52,21.4,22.58,5,107,0.36,-2.07
ITZY,WANNABE,https://open.spotify.com/track/6sohnLuyLeUYSg1pW5SqHm,./downloaded_mp3/ITZY_WANNABE.mp3,78,78,40.0,23.18,27,1080,-0.01,-1.4
GENERATIONS from EXILE TRIBE,ヒラヒラ,https://open.spotify.com/track/7BtpvxsRbBApSzlOwl3yeU,./downloaded_mp3/GENERATIONS from EXILE TRIBE_ヒラヒラ.mp3,76,93,58.67,28.77,6,352,-0.12,-1.98
乃木坂46,I see...,https://open.spotify.com/track/32OuoReGRWwfbecOPvrwiu,./downloaded_mp3/乃木坂46_I see....mp3,71,71,43.75,27.66,4,175,-0.17,-2.17
YOASOBI,夜に駆ける,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js,./downloaded_mp3/YOASOBI_夜に駆ける.mp3,25,100,65.14,28.4,253,16481,-0.66,-0.56
iri,Sparkle,https://open.spotify.com/track/55Za7bZ9ukyFsnA2I7cR0b,./downloaded_mp3/iri_Sparkle.mp3,22,33,24.67,7.37,3,74,0.31,-2.33
ヨルシカ,花に亡霊,https://open.spotify.com/track/53maoOKr6j04iqk6qjdvQN,./downloaded_mp3/ヨルシカ_花に亡霊.mp3,95,95,53.53,23.97,43,2302,-0.41,-1.03
Official髭男dism,パラボラ,https://open.spotify.com/track/55pezTty1DSrrc8wlOMZbA,./downloaded_mp3/Official髭男dism_パラボラ.mp3,92,95,55.45,27.01,33,1830,-0.23,-1.09
THE RAMPAGE from EXILE TRIBE,INVISIBLE LOVE,https://open.spotify.com/track/0gyaI2NK27hp9AjrVHNFG1,./downloaded_mp3/THE RAMPAGE from EXILE TRIBE_INVISIBLE LOVE.mp3,88,88,45.0,32.03,4,180,0.33,-1.93
